Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
163,In which quadrant must $\theta$ lie for $\sec \theta = -\sqrt{2}$ and $\csc \theta = -\sqrt{2}$?,1st,2nd,3rd,4th,,2
164,Express $(2x+3)/((x+1)(x+2))$ in partial fractions,$1/(x+1) + 1/(x+2)$,$-1/(x+1) + 1/(x+2)$,$1/(x+1) - 1/(x+2)$,$-1/(x+1) - 1/(x+2)$,None of the above,0
165,Evaluate $\lim_{x\to \infty} (2x+3)/(3x-1)$,$2/3$,$-3$,1,infinity,None of the above,0
166,$(\cos A - \cos B) / (\sin A + \sin B)$ can be expressed as __,$-\tan((A-B)/2)$,$\tan((A-B)/2)$,$-\cot((A-B)/2)$,$\cot((A-B)/2)$,None of the above,0
167,Which of the following is a relationship between combination and permutation?,$^nC_r = ^nP_r / r!$,$^nP_r = ^nC_r * n!$,$^nP_r = ^nC_r / n!$,$^nC_r = ^nP_r * n!$,None of the above,0
168,Find the inverse of the real number 5 under the operation multiplication,5-Jan,1,0,5,None of the above,0
169,"If $\alpha$ and $\beta$ are the roots of the equation $2x² + 6x – 5 = 0$, form the equation whose roots are $1/\alpha, 1/\beta$.",$-5x²-6x+2=0$, $4x² – 8x – 5 = 0$, $10x² + 18x – 9 = 0$, $8x² + 96x – 25 = 0$,None of the above,0
170,The operation * on the set Z of integers is defined by $x*y = 3x + 2y -1$. Find the value of x such that $x*2 = 5$.,3-Feb,0,2.5,3-Apr,None of the above,0
171,Representing set in the form D = { x | x is a month beginning with j} is called the,roster method,mesh method,listing method,rule method,None of the above,3
172,Solve $x² + 3x > 28$,$x < 7$ or $x < 4$,$x > 7$ or $x > 4$,$x > -7$ or $x < 4$,$x < -7$ or $x > 4$,None of the above,3
173,"Given that $x+iy = (5-7i)(1+i)$, find the values of x and y.","x = -12, y = 2","x = -2, y = 12","x = 12, y = -2","x = -12, y = -2",None of the above,2
174,In how many ways can 8 coloured beads be strung together to form a necklace?,"40,320","20,160","5,040","2,520",None of the above,3
175,Express $(2-i)/(1+2i)$ in the form of $a + ib$,2 + 4i,2 - 4i,$-i$,-2 + 4i,None of the above,2
176,Express $Z = 1 - \sqrt{3}i$ in polar form.,$Z = 2(\cos 300^\circ - i\sin 300^\circ)$,$2(\cos 60^\circ - i\sin 60^\circ)$,$2(\cos 300^\circ + i\sin 300^\circ)$,$2(\cos 60^\circ + i\sin 60^\circ)$,None of the above,2
177,"If $\alpha$ and $\beta$ are the roots of the equation $px² + qx + r = 0$, find in terms of p, q and r the value of $1/\alpha + 1/\beta$.",$-q/r$,$-r/q$,$q/r$,$r/p$,None of the above,0
178,Which of the following is not a step in the principle of mathematical induction?,"Assume that the mathematical expression is true for n = k, if it is true for n = 1",Show that the mathematical expression is true for n =1,Assume that the mathematical expression is true for n = k +1,"If the mathematical expression is true for n = k, then show that it is true for n = k + 1",None of the above,2
179,Evaluate the sum $\sum_{r=1}^{n} 1/(r(r+1))$,n²,$n/(n+1)$,$(n+1)/n$,$1 - 1/(n+1)$,None of the above,1
180,"If the 7th and 10th terms of a G.P. are 320 and 2560 respectively, find the series","-5, 10, -20, 40","5, -10, 20, -40","5, 10, 20, 40","-5, -10, -20, -40",None of the above,2
181,"In a survey of 290 newspaper readers, 181 read Times, 142 Guardian, 117 read Punch. If 75 read Times and Guardian, 60 read Times and Punch and 54 read Guardian and Punch. How many read all the three papers assuming everyone reads at least one paper.",39,72,42,51,None of the above,0
182,A committee of 3 boys and 4 girls is to be formed from 5 boys and 6 girls. If one boy and two particular girls must be in the committee. How many committees are possible?,150,36,72,63,None of the above,1
183,Given the quadratic equation $wx² + yx + z = 0$. The sum of the root is given by,$-y/w$,$-z/w$,$y/w$,$z/w$,None of the above,0
184,"Find the 15th term and the sum of the first 26 terms of the series 21, 17, 13, 9, 5,...",35 and 754,-35 and 754,-35 and -754,-754 and -35,None of the above,2
185,Given that $Z_1 = 3 - 4i$ and $Z_2 = 2 - 7i$. Find $Z_1 / Z_2$,$(34+13i)/53$,$(34-13i)/53$,$(-22+29i)/53$,$(22-29i)/53$,None of the above,0
186,Acute angles $\alpha$ and $\beta$ are such that $\tan \alpha = 3/4$ and $\sin \beta = 5/13$. Find the exact value of $\cos(\alpha - \beta)$.,$63/65$,$33/65$,$56/65$,$16/65$,None of the above,2
187,The property expressed by $(a*b)*c = a*(b*c)$ is best described as,distributive law,commutative law,closure law,associative law,None of the above,3
188,Acute angles $\alpha$ and $\beta$ are such that $\tan \alpha = 3/4$ and $\sin \beta = 5/13$. Find the exact value of $\sin(\alpha + \beta)$,$63/65$,$33/65$,$56/65$,$16/65$,None of the above,2
189,"Identify the identity element if it exists for the operation * defined on the set X ={m, n, o, p} by the following table: [* m n o p; m m n o p; n n o p m; o o p m n; p p m n o]",p,o,n,m,None of the above,3
190,"Given that T = {a,b,c,d}, if a $\Delta$ b = a and a $\Delta$ d = b, then b and d are __",inverse and identity elements,identity and inverse elements,both inverse elements,both identity elements,None of the above,-1
191,The operation $\Delta$ is defined by the relation $a \Delta b = a+b-ab$ on the set of real numbers. Evaluate (i) 2 $\Delta$ 5 (ii) 7 $\Delta$ 3 (iii) 20 $\Delta$ 20,(i)-3 (ii)-11 (iii)-360,(i)3 (ii)11 (iii)360,(i)-3 (ii)11 (iii)360,(i)3 (ii)-11 (iii)-360,None of the above,0
192,"If U= {X : 8 < X $\le$ 25, X $\in$ Z}, write in roster form the set that satisfy each of: (i) X is a prime number and (ii) X is a perfect square.","{9, 10, 11} and {16, 25}","{16,25} and {11, 13, 17,19,23}","{11,13,17,19,23} and {9, 16, 25}","{23,24,25} and {9,10,11}",None of the above,2
193,"If (k-4), (k+2) and (k+6) are consecutive terms of a geometric progression. Find the value of k.",3-Oct,20/6,10-Mar,-3.333333333,None of the above,-1
194,The Maclaurin's Series of $e^x \cos x$ is,$1+x-x³/3 - x4/6 + ...$,$1+x+x²/2!+x³/3!+...$,$1-x+x²/2!-x³/3!+...$,$1+x-x²/2-x³/6+...$,None of the above,0
195,"The area of a triangle is given by $1/2(x+3)(x-1)$. If the area is to be between 5cm² and 11cm², find the range of possible values of x.",$3 < x < \sqrt{23}$,$x < -5$ or $x > 3$,$-5 < x < 3$,$1 < x < 5$,None of the above,0
196,If $\sum_{r=1}^{n} (r-1/2)²$ is proved by induction then the principle at $n=k+1$ is obtained by solving...,$S_k + (k-1/2)²$,$S_k + (k+1/2)²$,$S_k + (k-1/2)$,$S_k + (k+1)$,None of the above,1
197,Solve the inequality $|(x-3)/(x+5)| < 1$,x < -5 or x < -8,$-5 < x < 5$,$-1 < x$,5 < x< 7,None of the above,2
198,"35 students in a class play at least one of volleyball, netball and hockey. 10 play volleyball only, 5 play netball only and exactly 3 play hockey. Two play all three games and equal numbers play exactly two games. How many students play exactly two games?",3,4,5,15,None of the above,2
199,"35 students in a class play at least one of volleyball, netball and hockey. 10 play volleyball only, 5 play netball only and exactly 3 play hockey. Two play all three games and equal numbers play exactly two games. How many students play volleyball altogether?",12,10,22,15,None of the above,2
200,"If the tangent of an angle is negative and its secant is positive, in which quadrant must the angle lie?",1st quadrant,2nd quadrant,3rd quadrant,4th Quadrant,None of the above,3
201,What is the value of $\cos(-10\pi/3)$ for angles that lies in the interval $0 \le \theta \le 2\pi$,1,$-1/2$,$1/2$,$\sqrt{3}/2$,None of the above,1
202,Find the value of $\tan(7\pi/6)$,$\sqrt{3}$,$1/\sqrt{3}$,$-\sqrt{3}$,$-1/\sqrt{3}$,None of the above,1
203,For what value of $\theta$ is y = $\tan \theta$ undefined if $0 \le \theta \le \pi$.,$\pi$,$\pi/2$,$\pi/4$,$\pi/3$,None of the above,1
204,"Assuming an angle lies in the first quadrant, evaluate $\sin(\arccos(4/5))$ as a fraction in its lowest term.",5-Apr,5-Mar,4-Mar,3-May,None of the above,1
205,The geometrical representation of complex numbers on the xy cartesian plane referred to as,an imaginary plot,an argand diagram,a complex plot,a complex plane,None of the above,1
206,Resolve $(3x-1)/((x-2)(x-3))$ into partial fractions,$-5/(x-2) + 8/(x-3)$,$5/(x-2) - 8/(x-3)$,$-5/(x-2) - 8/(x-3)$,$5/(x-2) + 8/(x-3)$,None of the above,0
207,"If $\alpha$ and $\beta$ are the roots of $ax²+bx+c=0$, obtain in terms of a, b and c the values of $\alpha²+\beta²$",$(b²-2ac)/a²$,$(b²+2ac)/a²$,$(2ac-b²)/a²$,$-(b²+2ac)/a²$,None of the above,0
208,If the first term of an Arithmetic Progression (AP) is 7 and the 12th term is 13. Find the 5th term and the sum of the first 20 terms respectively.,"9.5, 245","18.3, 245","9.5, 243","18.3, 243",None of the above,-1
209,If the first term of a GP is 8 and the 6th term is 1/4. Find the common ratio and the sum to infinity respectively.,"-1/2, 16","1/2, 16","-1/2, 12","1/2, 12",None of the above,1
210,"If $\alpha$ and $\beta$ are the roots of the equation $2x²-5x+3=0$, form the equation whose root is $\alpha+\beta, \alpha\beta$",$2x²-8x+15=0$,$2x²+8x-15=0$,$2x²+8x+15=0$,$2x²-8x-15=0$,None of the above,0
211,"What is the range of the value of p, if $px²-6x+p=0$ has real and distinct roots?","$-3 < p < 3, p\ne 0$",p < -3 or p > 3,$p < 3$,p < -3,None of the above,0
212,"If $\alpha$ and $\beta$ are the roots of the equation $ax²+bx+c=0$, find the value of $\alpha/\beta + \beta/\alpha$ in terms of a, b and c",$(b²-2ac)/ac$,$(b²+2ac)/ac$,$(2ac-b²)/ac$,$-(b²+2ac)/ac$,None of the above,0
213,"If $\sin A = 3/5$ and $\cos B = 5/13$, find $\sin(A-B)$ when A and B are both obtuse.",$16/65$,$-16/65$,$56/65$,$-56/65$,None of the above,1
214,"If $\sin A = 3/5$ and $\cos B = 5/13$, find $\sin(A-B)$ when A and B are both acute.",$16/65$,$-16/65$,$56/65$,$-56/65$,None of the above,0
215,The letter of the word PENCIL can be arranged in so many ways. How many of these ways begin with E and end with P?,60,40,120,24,None of the above,3
216,"What is the common ratio of a Geometric progression (GP), if the 1st, 5th and 10th terms of an AP are also three consecutive terms of a GP.",$5/4$,$4/5$,$3/2$,$2/3$,None of the above,0
217,"If $\sum_{r=1}^{n} r = n(n+1)/2$ is proved by induction, then at $n=k+1$, the sum is",$k(k+1)/2 + (k+1)$,$k(k+1)/2 + k$,$(k+1)(k+2)/2$,$k(k-1)/2 + (k+1)$,None of the above,0
218,"De-Moivre's theorem state that, if $z = r(\cos \theta + i \sin \theta)$ then for any integer n, $z^n$ equals",$r^n(\cos n\theta + i \sin n\theta)$,$r(\cos n\theta + i \sin n\theta)$,$r^n(\cos \theta + i \sin \theta)$,$r^n(\cos^n \theta + i \sin^n \theta)$,None of the above,0
219,Express $(1+2i)/(3-4i)$ in the form a+ib.,$-1/5 + 2/5 i$,$-1/5 - 2/5 i$,$1/5 + 2/5 i$,$1/5 - 2/5 i$,None of the above,0
220,The sum of the first 15th terms of an Arithmetic Progression (AP) is 495 and the sum of the next 8 terms is 540. What is the first term of the AP.,18,23,12,15,None of the above,3
221,"In a certain gathering of 200 students, 60% of them like Economics while 77% of them like History. How many students like both History and Economics?",74,60,130,37,None of the above,0
222,Express $(2x-1)/((x+2)(x-3))$ in partial fractions.,$1/(x+2) + 1/(x-3)$,$1/(x+2) - 1/(x-3)$,$-1/(x+2) + 1/(x-3)$,$-1/(x+2) - 1/(x-3)$,None of the above,0
223,If $\cos A = -4/5$ and A is obtuse find $\tan(A/2)$,$3$,$1/3$,$-3$,$-1/3$,None of the above,0
224,Solve the inequality $x²+3x-28 > 0$,"x < 4, x > -7","x < -7, x < 4","x > -7, x > 4","x < -7, x > 4",None of the above,3
225,"A three and four-digit numbers are to be formed using the digits 1, 6, 6, 8 and 9. How many of these numbers are even if repetitions are allowed?",72,54,300,274,None of the above,-1
226,Express $\cos³ x$ in terms of powers of angle.,$1/4(\cos 3x + 3\cos x)$,$1/4(\cos 3x - 3\cos x)$,$1/2(\cos 3x + 3\cos x)$,$1/2(\cos 3x - 3\cos x)$,None of the above,0
227,Find the value(s) of a for which the equation $x² + (a-2)x - (a-6) = 0$ has equal roots.,a = 0 or a = 8,a = 8,a = 0,a = -2,None of the above,-1
228,"If $\sin A = 3/5$ and $\cos B = -12/13$, find $\cos(A+B)$ where A is obtuse and B is acute.",$-16/65$,$16/65$,$33/65$,$-33/65$,None of the above,-1
229,"If the first term of a G. P is 16 and the 4th term is $1/4$, compute the sum to infinity.",$22 1/3$,$20 1/3$,$21 1/3$,$16 1/3$,None of the above,-1
230,"In how many ways can an engineering committee of 5 civil, 6 mechanical and 7 chemical be picked from 8 civil, 9 mechanical and 10 chemical engineers.","564,000","564,480","120,000","564,080",None of the above,1
231,A box contains 2 yellow and 3 blue cards. In how many ways can 3 cards be chosen if at least one card must be blue?,8,9,10,15,None of the above,1
232,"Given $z_1 = 2+i$ and $z_2 = 1-i$, evaluate $|z_1 - 2z_2|$.",$-4 +3i$,$-1 +2i$,3,2 - i,None of the above,2
233,The expansion $(0.9998)^{15}$ is approximately.,$1 + 15(-0.0002)$,$1 + 15(0.9998)$,$1 + 15(0.0002)$,$1 + 0.5(0.0002)$,None of the above,0
